company_id,cluster_id,cluster_name,distance_from_centroid
ABB,2,Value Cyclicals,0.34922989952208067
ABB,2,Value Cyclicals,0.34111702515920106
ABB,2,Value Cyclicals,0.3493942013804094
ABB,2,Value Cyclicals,0.34128523274749895
ADANIENSOL,2,Value Cyclicals,1.202927863581596
ADANIENSOL,2,Value Cyclicals,0.8311216653053987
ADANIENT,2,Value Cyclicals,0.8696766820305645
ADANIENT,2,Value Cyclicals,0.9367160895191482
ADANIGREEN,0,High-Quality Compounders,1.199070454544398
ADANIGREEN,0,High-Quality Compounders,1.2644179095363077
ADANIPORTS,1,Defensive Dividend Payers,0.7750705275523108
ADANIPORTS,1,Defensive Dividend Payers,0.7711008335886592
ADANIPORTS,1,Defensive Dividend Payers,0.7750705275523108
ADANIPORTS,1,Defensive Dividend Payers,0.7711008335886592
ADANIPOWER,2,Value Cyclicals,0.8351116530976267
ADANIPOWER,2,Value Cyclicals,0.8272015071399493
AMBUJACEM,2,Value Cyclicals,0.4494350932211975
AMBUJACEM,2,Value Cyclicals,0.44957626727761163
APOLLOHOSP,2,Value Cyclicals,0.38778424035479636
APOLLOHOSP,2,Value Cyclicals,0.42468232278854146
ASIANPAINT,2,Value Cyclicals,0.18822842297246348
ASIANPAINT,2,Value Cyclicals,0.1848444730062104
ASIANPAINT,2,Value Cyclicals,0.18822842297246348
ASIANPAINT,2,Value Cyclicals,0.1848444730062104
BAJAJ-AUTO,2,Value Cyclicals,0.1872145063325316
BAJAJ-AUTO,2,Value Cyclicals,0.1872145063325316
BAJAJ-AUTO,2,Value Cyclicals,0.1456519904701054
BAJAJ-AUTO,2,Value Cyclicals,0.1456519904701054
AXISBANK,0,High-Quality Compounders,1.3068472162234182
BAJAJFINSV,4,Distressed / Turnaround,1.161086125400662
BAJAJFINSV,4,Distressed / Turnaround,1.1697648463274375
BAJAJHLDNG,1,Defensive Dividend Payers,0.6629687703798104
BAJAJHLDNG,1,Defensive Dividend Payers,0.6632527855173564
BAJFINANCE,4,Distressed / Turnaround,1.3789786775363755
BAJFINANCE,4,Distressed / Turnaround,1.3936311984589582
BANKBARODA,0,High-Quality Compounders,1.909544914146445
BHARTIARTL,1,Defensive Dividend Payers,1.5836047327719007
BHARTIARTL,1,Defensive Dividend Payers,1.5790052620799926
BEL,3,Emerging Growth,1.0218635728637115
BEL,3,Emerging Growth,0.42596869252280506
BHEL,2,Value Cyclicals,0.7456514000164688
BHEL,2,Value Cyclicals,0.7450455403070881
BOSCHLTD,2,Value Cyclicals,0.39982466417455637
BOSCHLTD,2,Value Cyclicals,0.3998337165459387
BPCL,2,Value Cyclicals,0.9793998684344768
BPCL,2,Value Cyclicals,0.9812565364636978
BRITANNIA,2,Value Cyclicals,0.1345908569201659
BRITANNIA,2,Value Cyclicals,0.2144969679303359
CANBK,0,High-Quality Compounders,2.935225992651281
CHOLAFIN,4,Distressed / Turnaround,1.1801515263645064
CHOLAFIN,4,Distressed / Turnaround,1.3323181470310244
CIPLA,1,Defensive Dividend Payers,0.43061191586054276
CIPLA,1,Defensive Dividend Payers,0.43090867650634956
COALINDIA,1,Defensive Dividend Payers,0.5666317225643162
COALINDIA,1,Defensive Dividend Payers,0.567343927636048
DABUR,2,Value Cyclicals,0.25560708821053174
DABUR,2,Value Cyclicals,0.24820371158217103
DIVISLAB,2,Value Cyclicals,0.429840445728524
DIVISLAB,2,Value Cyclicals,0.42984880067892783
DLF,2,Value Cyclicals,0.5624460338697153
DLF,2,Value Cyclicals,0.5636974081353178
DMART,2,Value Cyclicals,0.5516709475777103
DMART,2,Value Cyclicals,0.5501746729243667
DRREDDY,2,Value Cyclicals,0.4309395988962174
DRREDDY,2,Value Cyclicals,0.41611611026675105
EICHERMOT,2,Value Cyclicals,0.3758855469802444
EICHERMOT,2,Value Cyclicals,0.37588229247314736
GAIL,2,Value Cyclicals,0.37001281684755644
GAIL,2,Value Cyclicals,0.37596665104781146
GODREJCP,2,Value Cyclicals,0.3331903953786975
GODREJCP,2,Value Cyclicals,0.32742818470378754
GRASIM,2,Value Cyclicals,1.8329451410350224
GRASIM,2,Value Cyclicals,1.8501031836976367
HAL,3,Emerging Growth,0.5922770961641612
HAL,3,Emerging Growth,0.8377086875764848
HAVELLS,2,Value Cyclicals,0.486187712197847
HAVELLS,2,Value Cyclicals,0.48620835842321525
HCLTECH,2,Value Cyclicals,0.5008187748921777
HCLTECH,2,Value Cyclicals,0.5008168365696829
HDFCBANK,0,High-Quality Compounders,1.713016685073896
HDFCLIFE,1,Defensive Dividend Payers,0.9884785261742579
HDFCLIFE,1,Defensive Dividend Payers,0.9885793015730626
HEROMOTOCO,1,Defensive Dividend Payers,0.4640459103391204
HEROMOTOCO,1,Defensive Dividend Payers,0.4644441069978545
HINDALCO,1,Defensive Dividend Payers,0.4278307040856317
HINDALCO,1,Defensive Dividend Payers,0.4281096664978921
HINDUNILVR,1,Defensive Dividend Payers,0.28763359160288926
HINDUNILVR,1,Defensive Dividend Payers,0.2875538898288854
ICICIBANK,0,High-Quality Compounders,1.0086102280670066
ICICIGI,1,Defensive Dividend Payers,0.5687592551906592
ICICIGI,1,Defensive Dividend Payers,0.5691703387080383
ICICIPRULI,1,Defensive Dividend Payers,1.0092629502300579
ICICIPRULI,1,Defensive Dividend Payers,1.0206843087328974
INDUSINDBK,0,High-Quality Compounders,1.4346030340201295
INFY,2,Value Cyclicals,0.6917893297231145
INFY,2,Value Cyclicals,0.690698308962658
IOC,2,Value Cyclicals,1.5861557741242156
IOC,2,Value Cyclicals,1.5928598991457816
IRCTC,2,Value Cyclicals,0.6241367338567448
IRCTC,2,Value Cyclicals,0.6253964652881548
IRFC,0,High-Quality Compounders,1.4123949608339323
IRFC,0,High-Quality Compounders,1.4378401587067198
ITC,2,Value Cyclicals,0.9044659597354207
ITC,2,Value Cyclicals,0.9044601421466943
JINDALSTEL,2,Value Cyclicals,0.3606475996263884
JINDALSTEL,2,Value Cyclicals,0.36135428634400646
JIOFIN,1,Defensive Dividend Payers,0.49552978209058585
JIOFIN,1,Defensive Dividend Payers,0.4955224155464606
JSWENERGY,2,Value Cyclicals,1.1676118676379237
JSWENERGY,2,Value Cyclicals,1.1116526539508558
JSWSTEEL,2,Value Cyclicals,0.47672005842300735
JSWSTEEL,2,Value Cyclicals,0.4947675934934654
KOTAKBANK,1,Defensive Dividend Payers,1.4755941693862222
LICI,2,Value Cyclicals,0.6873528458721646
LICI,2,Value Cyclicals,0.6865738469394908
LODHA,2,Value Cyclicals,0.3515989008358714
LODHA,2,Value Cyclicals,0.3516350708446313
LT,2,Value Cyclicals,0.739970905993048
LT,2,Value Cyclicals,0.7381654833802802
LTIM,2,Value Cyclicals,0.2533337313259385
LTIM,2,Value Cyclicals,0.25047173794970923
M&M,2,Value Cyclicals,0.9086700945217163
M&M,2,Value Cyclicals,0.913405931033507
MARUTI,2,Value Cyclicals,0.3388807544850046
MARUTI,2,Value Cyclicals,0.338911558875889
MOTHERSON,2,Value Cyclicals,0.4693981546850454
MOTHERSON,2,Value Cyclicals,0.4717519547544331
NAUKRI,2,Value Cyclicals,0.4523307482990251
NAUKRI,2,Value Cyclicals,0.4523997480183114
NESTLEIND,2,Value Cyclicals,0.3014373740104668
NESTLEIND,2,Value Cyclicals,0.28749612985840906
NHPC,1,Defensive Dividend Payers,1.136951584335753
NHPC,1,Defensive Dividend Payers,1.1373721596663966
NTPC,2,Value Cyclicals,0.5604623871394461
NTPC,2,Value Cyclicals,0.5474982477886385
ONGC,2,Value Cyclicals,1.6460809390992877
ONGC,2,Value Cyclicals,1.6461248307791445
PFC,4,Distressed / Turnaround,2.5676404607433625
PFC,4,Distressed / Turnaround,2.508133057516195
PIDILITIND,2,Value Cyclicals,0.29078667203173847
PIDILITIND,2,Value Cyclicals,0.29362883146178315
PNB,4,Distressed / Turnaround,1.2967679397444976
PNB,4,Distressed / Turnaround,1.2967679397444976
PNB,4,Distressed / Turnaround,1.2967679397444976
PNB,4,Distressed / Turnaround,1.2967679397444976
PNB,4,Distressed / Turnaround,1.2967679397444976
POWERGRID,1,Defensive Dividend Payers,0.8658241237073029
POWERGRID,1,Defensive Dividend Payers,0.8512648468760564
POWERGRID,1,Defensive Dividend Payers,0.8658241237073029
POWERGRID,1,Defensive Dividend Payers,0.8512648468760564
RECLTD,4,Distressed / Turnaround,2.286275824092725
RECLTD,4,Distressed / Turnaround,2.3038856308800133
RELIANCE,2,Value Cyclicals,1.7866978646506748
RELIANCE,2,Value Cyclicals,1.7864312251097363
SBILIFE,2,Value Cyclicals,0.858849486816477
SBILIFE,2,Value Cyclicals,0.8588816627947118
SHREECEM,2,Value Cyclicals,0.2545315658193743
SHREECEM,2,Value Cyclicals,0.2545418703149372
SHRIRAMFIN,4,Distressed / Turnaround,1.2756543385146972
SHRIRAMFIN,4,Distressed / Turnaround,1.2790700762579268
SIEMENS,2,Value Cyclicals,0.3663122447235114
SUNPHARMA,2,Value Cyclicals,0.415059443216047
SUNPHARMA,2,Value Cyclicals,0.4171072491301997
TATACONSUM,2,Value Cyclicals,0.33632799410427316
TATACONSUM,2,Value Cyclicals,0.34810974042264364
TATAMOTORS,2,Value Cyclicals,1.8285386704647042
TATAMOTORS,2,Value Cyclicals,1.8142007421929085
TATAPOWER,2,Value Cyclicals,0.5210388807210515
TATAPOWER,2,Value Cyclicals,0.5502748354138851
TATASTEEL,2,Value Cyclicals,0.4431466096290033
TATASTEEL,2,Value Cyclicals,0.4755343151157311
TCS,2,Value Cyclicals,2.0437997581654868
TCS,2,Value Cyclicals,2.043588450040357
TECHM,2,Value Cyclicals,0.465884995913005
TECHM,2,Value Cyclicals,0.46906781138805614
TECHM,2,Value Cyclicals,0.465884995913005
TECHM,2,Value Cyclicals,0.46906781138805614
TITAN,2,Value Cyclicals,0.6477836484162683
TITAN,2,Value Cyclicals,0.851560212193555
TORNTPHARM,2,Value Cyclicals,0.4505067828948218
TORNTPHARM,2,Value Cyclicals,0.44951835148926905
TRENT,2,Value Cyclicals,0.2668495783453053
TRENT,2,Value Cyclicals,0.26845078571480435
TVSMOTOR,2,Value Cyclicals,1.4988291498803072
TVSMOTOR,2,Value Cyclicals,0.7310736959371686
ULTRACEMCO,2,Value Cyclicals,0.3048009504752432
ULTRACEMCO,2,Value Cyclicals,0.3048009504752432
UNIONBANK,2,Value Cyclicals,0.3048009504752432
UNITDSPR,2,Value Cyclicals,0.3048009504752432
UNITDSPR,2,Value Cyclicals,0.3048009504752432
VEDL,2,Value Cyclicals,0.3048009504752432
VEDL,2,Value Cyclicals,0.3048009504752432
WIPRO,2,Value Cyclicals,0.3048009504752432
WIPRO,2,Value Cyclicals,0.3048009504752432
ZOMATO,2,Value Cyclicals,0.3048009504752432
ZOMATO,2,Value Cyclicals,0.3048009504752432
ZYDUSLIFE,2,Value Cyclicals,0.3048009504752432
ZYDUSLIFE,2,Value Cyclicals,0.3048009504752432
INDIGO,1,Defensive Dividend Payers,1.4382000146161145
INDIGO,1,Defensive Dividend Payers,1.3787092374312813
