ABB | 2012 | ROE | Source=34.90 | Calculated=22.41 | Category=Formula Difference
ABB | 2012 | ROCE | Source=46.00 | Calculated=36.32 | Category=Formula Difference
ABB | 2014 | ROE | Source=34.90 | Calculated=25.13 | Category=Formula Difference
ABB | 2014 | ROCE | Source=46.00 | Calculated=40.10 | Category=Formula Difference
ABB | 2014 | ROE | Source=34.90 | Calculated=25.13 | Category=Formula Difference
ABB | 2014 | ROCE | Source=46.00 | Calculated=40.10 | Category=Formula Difference
ABB | 2015 | ROE | Source=34.90 | Calculated=24.44 | Category=Formula Difference
ABB | 2015 | ROCE | Source=46.00 | Calculated=38.42 | Category=Formula Difference
ABB | 2015 | ROE | Source=34.90 | Calculated=24.44 | Category=Formula Difference
ABB | 2015 | ROCE | Source=46.00 | Calculated=38.42 | Category=Formula Difference
ABB | 2016 | ROE | Source=34.90 | Calculated=21.34 | Category=Formula Difference
ABB | 2016 | ROCE | Source=46.00 | Calculated=34.48 | Category=Formula Difference
ABB | 2016 | ROE | Source=34.90 | Calculated=21.34 | Category=Formula Difference
ABB | 2016 | ROCE | Source=46.00 | Calculated=34.48 | Category=Formula Difference
ABB | 2017 | ROE | Source=34.90 | Calculated=19.97 | Category=Formula Difference
ABB | 2017 | ROCE | Source=46.00 | Calculated=32.66 | Category=Formula Difference
ABB | 2017 | ROE | Source=34.90 | Calculated=19.97 | Category=Formula Difference
ABB | 2017 | ROCE | Source=46.00 | Calculated=32.66 | Category=Formula Difference
ABB | 2018 | ROE | Source=34.90 | Calculated=23.69 | Category=Formula Difference
ABB | 2018 | ROCE | Source=46.00 | Calculated=37.68 | Category=Formula Difference
ABB | 2018 | ROE | Source=34.90 | Calculated=23.69 | Category=Formula Difference
ABB | 2018 | ROCE | Source=46.00 | Calculated=37.68 | Category=Formula Difference
ABB | 2019 | ROE | Source=34.90 | Calculated=22.41 | Category=Formula Difference
ABB | 2019 | ROCE | Source=46.00 | Calculated=35.66 | Category=Formula Difference
ABB | 2019 | ROE | Source=34.90 | Calculated=22.41 | Category=Formula Difference
ABB | 2019 | ROCE | Source=46.00 | Calculated=35.66 | Category=Formula Difference
ABB | 2020 | ROE | Source=34.90 | Calculated=24.39 | Category=Formula Difference
ABB | 2020 | ROCE | Source=46.00 | Calculated=33.08 | Category=Formula Difference
ABB | 2020 | ROE | Source=34.90 | Calculated=24.39 | Category=Formula Difference
ABB | 2020 | ROCE | Source=46.00 | Calculated=33.08 | Category=Formula Difference
ABB | 2021 | ROE | Source=34.90 | Calculated=26.56 | Category=Formula Difference
ABB | 2021 | ROCE | Source=46.00 | Calculated=35.75 | Category=Formula Difference
ABB | 2021 | ROE | Source=34.90 | Calculated=26.56 | Category=Formula Difference
ABB | 2021 | ROCE | Source=46.00 | Calculated=35.75 | Category=Formula Difference
ABB | 2022 | ROE | Source=34.90 | Calculated=28.33 | Category=Formula Difference
ABB | 2022 | ROCE | Source=46.00 | Calculated=38.56 | Category=Formula Difference
ABB | 2022 | ROE | Source=34.90 | Calculated=28.33 | Category=Formula Difference
ABB | 2022 | ROCE | Source=46.00 | Calculated=38.56 | Category=Formula Difference
ABB | 2023 | ROE | Source=34.90 | Calculated=29.77 | Category=Formula Difference
ABB | 2023 | ROCE | Source=46.00 | Calculated=40.71 | Category=Formula Difference
ABB | 2023 | ROE | Source=34.90 | Calculated=29.77 | Category=Formula Difference
ABB | 2023 | ROCE | Source=46.00 | Calculated=40.71 | Category=Formula Difference
ADANIENSOL | 2014 | ROE | Source=8.59 | Calculated=0.00 | Category=Formula Difference
ADANIENSOL | 2014 | ROCE | Source=9.00 | Calculated=0.00 | Category=Formula Difference
ADANIENSOL | 2015 | ROE | Source=8.59 | Calculated=-0.65 | Category=Formula Difference
ADANIENSOL | 2015 | ROCE | Source=9.00 | Calculated=0.29 | Category=Formula Difference
ADANIENSOL | 2016 | ROE | Source=8.59 | Calculated=13.77 | Category=Formula Difference
ADANIENSOL | 2017 | ROE | Source=8.59 | Calculated=14.12 | Category=Formula Difference
ADANIENSOL | 2018 | ROE | Source=8.59 | Calculated=18.87 | Category=Formula Difference
ADANIENSOL | 2021 | ROE | Source=8.59 | Calculated=14.46 | Category=Formula Difference
ADANIENT | 2013 | ROE | Source=13.64 | Calculated=5.69 | Category=Formula Difference
ADANIENT | 2013 | ROCE | Source=11.60 | Calculated=4.74 | Category=Formula Difference
