company_id,company_name,broad_sector,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow_cr,FCF_yield_pct,five_year_median_pe,sector_median_pe,PE_vs_sector_median_pct,valuation_flag
ABB,Abbott India Ltd,Industrials,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.03,62.63,48.9,-60.55,Undervalued
ABB,Abbott India Ltd,Industrials,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05,62.63,48.9,-60.55,Undervalued
ABB,Abbott India Ltd,Industrials,2022,1185994.82,1158637.42,18.68,4.75,6.12,3.35,552.0,0.05,62.63,48.9,-61.8,Undervalued
ABB,Abbott India Ltd,Industrials,2022,1185994.82,1158637.42,18.68,4.75,6.12,3.35,161.0,0.01,62.63,48.9,-61.8,Undervalued
ABB,Abbott India Ltd,Industrials,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,797.0,0.05,62.63,48.9,54.56,Overvalued
ABB,Abbott India Ltd,Industrials,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,1095.0,0.07,62.63,48.9,54.56,Overvalued
ABB,Abbott India Ltd,Industrials,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,797.0,0.05,62.63,48.9,54.56,Overvalued
ABB,Abbott India Ltd,Industrials,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,1095.0,0.07,62.63,48.9,54.56,Overvalued
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2019,171905.69,222090.81,76.72,12.85,34.64,2.97,-459.0,-0.27,58.5,45.26,69.51,Overvalued
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2022,306303.52,354481.15,71.21,6.44,19.65,2.37,161.0,0.05,58.5,45.26,57.34,Overvalued
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2023,263283.51,289260.77,28.96,13.96,8.07,2.07,-922.0,-0.35,58.5,45.26,-36.01,Undervalued
ADANIGREEN,Adani Green Energy Ltd,Energy,2019,485373.12,541878.15,29.07,10.49,5.01,0.27,-1041.0,-0.21,37.61,45.26,-35.77,Undervalued
ADANIGREEN,Adani Green Energy Ltd,Energy,2020,517543.72,664150.23,72.14,14.91,19.59,0.21,-1778.0,-0.34,37.61,45.26,59.39,Overvalued
ADANIGREEN,Adani Green Energy Ltd,Energy,2021,519085.0,607489.51,17.73,4.85,6.97,2.14,-7536.0,-1.45,37.61,45.26,-60.83,Undervalued
