company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_equity,high_leverage,interest_coverage,interest_label,interest_warning,net_debt,asset_turnover,book_value_per_share,dividend_payout_ratio,free_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_3yr_flag,revenue_cagr_5yr_flag,revenue_cagr_10yr_flag,pat_cagr_3yr_flag,pat_cagr_5yr_flag,pat_cagr_10yr_flag,eps_cagr_3yr_flag,eps_cagr_5yr_flag,eps_cagr_10yr_flag,quality_score
ABB,2012,8.77,12.22,22.41,36.32,15.99,0.0,0,,Debt Free,0,0.0,1.82,30.81,25.0,42.0,0.7,Moderate,3.57,Moderate,20.79,+,-,-,Reinvestor,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,44.44
ABB,2014,8.7,11.73,25.13,40.1,17.38,0.0,0,,Debt Free,0,0.0,2.0,37.52,25.0,11.0,0.78,Moderate,6.33,Moderate,4.12,+,-,-,Reinvestor,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,44.44
ABB,2014,8.7,11.73,25.13,40.1,17.38,0.0,0,,Debt Free,0,0.0,2.0,37.52,25.0,0.0,0.0,Accrual Risk,0.0,Asset Light,0.0,0,0,0,Unknown,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,33.33
ABB,2015,10.0,13.63,24.44,38.42,16.67,0.0,0,,Debt Free,0,0.0,1.67,44.62,29.0,28.0,0.94,Moderate,8.17,Capital Intensive,8.97,+,-,-,Reinvestor,11.46,,,16.45,,,16.67,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,44.44
ABB,2015,10.0,13.63,24.44,38.42,16.67,0.0,0,,Debt Free,0,0.0,1.67,44.62,29.0,-1899.0,0.15,Accrual Risk,81.43,Capital Intensive,-608.65,-,-,+,Growth Funded by Debt,11.46,,,16.45,,,16.67,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,33.33
ABB,2016,9.76,13.96,21.34,34.48,15.78,0.0,0,138.33,Interest Bearing,0,0.0,1.62,56.9,29.0,172.0,0.98,Moderate,2.95,Asset Light,47.12,+,-,-,Reinvestor,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,55.56
ABB,2016,9.76,13.96,21.34,34.48,15.78,0.0,0,138.33,Interest Bearing,0,0.0,1.62,56.9,29.0,728.0,6.05,High Quality,31.22,Capital Intensive,199.45,+,-,-,Shareholder Returns,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,66.67
ABB,2017,9.54,13.71,19.97,32.66,13.41,0.0,0,227.5,Interest Bearing,0,0.0,1.41,66.05,31.0,152.0,1.11,High Quality,5.34,Moderate,38.19,+,-,-,Shareholder Returns,8.45,11.92,,11.84,13.82,,11.81,13.84,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,100.0
ABB,2017,9.54,13.71,19.97,32.66,13.41,0.0,0,227.5,Interest Bearing,0,0.0,1.41,66.05,31.0,459.0,7.9,High Quality,59.59,Capital Intensive,115.33,+,-,-,Shareholder Returns,8.45,11.92,,11.84,13.82,,11.81,13.84,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,100.0
ABB,2018,12.16,15.92,23.69,37.68,16.6,0.0,0,160.5,Interest Bearing,0,0.0,1.37,80.62,29.0,-62.0,0.38,Accrual Risk,6.52,Moderate,-11.81,+,-,-,Reinvestor,12.95,,,20.53,,,20.51,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,44.44
